NUMBOL,Tipo,P1,P2,P3,P1A,P1B,P1C,P1D,P1E,P2A,P2B,P2C,P2D,P2E,P3A,P4A,P4,P5,P6,P7A,P7B,P8,P9,P10,P11A,P11B,P11C,P11F,P11G,P11D,P12,P13A,P13B,P14,P15A,P15B,P15C,P15E,P15D,P16,P17,P18,P19,P20,P21A,P21B,P22,P23,P24,P25,P26,P27A,P27B,P27C,P27E,P27F,P27G,P27D,P28,P29A,P29B,P30,P31A,P31B,P31C,P31D,P31E,P31G,P31H,P31F,P32,P33,P34,P35,P36A,P36B,P37,P38,P39A,P39B,P40,P41A,P41B,P41C,P41D,P41E,P41G,P41H,P41I,P41J,P41F,P42A,P42B,P42C,P42E,P42F,P42D,P43,P44A,P44B,P44C,P44D,P44E,P44F,P44G,P44J,P44H,P44I,P44K,P44L,P44M,P44N,P44O,P44P,P44Q,P44R,P44S,P44T,P44U,P44V,P44W,P44X,P45A,P45B,P45C,P45D,P45E,P45F,P45G,P45H,P45I,P45J,P45K,P45L,P45M,P45N,P45O,P45P,P45Q,P45R,P45S,P45T,P45U,P45V,P45W,P45X,P46A,P46B,P46C,P46E,P46F,P46G,P46H,P46I,P46D,P47A,P47B,P47C,P47D,P47E,P47G,P47H,P47I,P47F,P48A,P48B,P48C,P49A,P49B,P49C,P50,P51,P52,P53,P54,P55A,P55B,P56,P57,P58A,P58B,P59A,P59B,P60A,P60B,P61A,P60C,P62A,P62B,P63A,P63B,P64A,P64B,P64C,P64D,P64E,P65,P66,P67A1,P67A2,P67B1,P67B2,P67C1,P67C2,P68,P69,P70,P71,P72A,P72B,P72C,P72E,P72F,P72D,P73,P74A,P74B,P75,P76,P77,P78A,P78B,P78C,P78D,P79,P80A,P80B,P80C,P80D,P81A,P81B,P81C,P81D,P82A,P82B,P82C,P82D,P83A,P83B,P83C,P83D,P84,P85A,P85B,P85C,P85D,P86A,P87,P88A,P88B,P88C,P88D,P89A,P89B,P89C,P89D,P90A,P90B,P90C,P90D,P91A,P91B,P91C,P91D,P92,P93A,P93B,P93C,P93D,P94,P95,P96,P97,P98A,P98B,P98C,P98E,P98D,P99,P100A,P100B,P100C,P100D,P100E,P100G,P100H,P100I,P100F,P101A,P101B,P101C,P101D,P101E,P102,P103A,P103B,P103C,P103D,P103E,P103F,P103G,P103H,P103I,P103J,P103K,P103L,P103M,P103N,P103O,P103P,P103Q,P104A,P104B,P104C,P104D,P104E,P104F,P104G,P104H,P104I,P104J,P104K,P104L,P104M,P104N,P104O,P104P,P104Q,P105,P106A,P106B,P106C,P106D,P107A,P107B,P107C,P107D,P107E,P108,P109,P110,P111,P11E,P112,P113,P114A,P114B,P115A,P115B,P115C,P115D,P116,P117,P118A,P118B,P118C,P118D,P118E,P118G,P118H,P118I,P118F,P119,P120,P121A,P121B,P121C,P121E,P121F,P121G,P121D,P122,P123,P124A,P124B,P124C,P124D,P124E,P125,P126,P127,P128A,P128B,P128C,P128D,P129A,P129B,P129C,P130A,P130B,P130C,P131A,P131B,P131C,P132A,P132B,P132C,P133A,P133B,P133C,P134,P135,P136,P137,P138,P139,P140,P140A,P140B,P140C,P140D,P141,P142,P143,P144,P145,P146A,P146B,P146C,P147,P148,P149,P150,P151,P151A,P151B,P152,P153,P154A,P154B,P155,P156A,P156B,P156C,P156D,P156E,P156F,P156G,P156H,P156I,P156J,P156K,P157,P158,P159,P160,CodP160,Ponderador5536,Ponderador5033,Nse
15765,1,52,1,2,,,,,,,,,,,,,1,99,2,,,,,2,4,,,,,,1,,13,9,1,4,,,,1,2,99,5,1,6,13,99,3,,,,,,,,,,,1,,1,1200,1,2,6,,,,,,1,2,60,3,1,,1,50,60,1,4,1,9,10,,,,,,,,5,,,,,,5,12,13,17,18,19,20,,,,,,,,,,,,,,,,,,,12,13,17,18,19,20,,,,,,,,,,,,,,,,,,,1,6,9,,,,,,,1,,,,,,,,,,,,,,,2,2,2,2,2,4,,3,9,2,,2,,2,,2,,2,,2,,6,3,,,,,2,,,,,,,3,2,,2,6,,,,,,1,3,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,1,3,,,,,,,,1,4,7,,,5,12,13,17,18,19,20,,,,,,,,,,,,12,13,17,18,19,20,,,,,,,,,,,,2,,,,,8,,,,,3,2,2,4,,2,2,,,,,,,,2,,,,,,,,,,,2,,,,,,,,1,4,3,6,6,3,6,1,60,2,,,,,1,2,3,1,2,3,1,2,,1,,,9,,,1,1,1,1,1,1,2,2,2,2,2,2,,40,48,1,3,,,2,2,4,2,1,,,7,7,5,jubilado,3,1,1,1,1,1,1,2,2,2,1,1,4,2,1,Sucre,78,",33448039965043",",514600142888652",5
15766,1,19,1,1,,,,,,,,,,,,,2,,2,,,,,9,,,,,,,1,,3,2200,1,4,,,,2,2,,,2,,,,3,,,,,,,,,,,1,,3,400,1,2,3,4,5,6,7,,1,2,30,5,1,,1,70,55,1,5,1,8,9,10,,,,,,,11,,,,,,7,5,6,7,8,9,10,12,13,16,17,20,21,23,24,,,,,,,,,,,5,6,8,9,10,12,17,20,21,23,24,,,,,,,,,,,,,,1,8,9,10,,,,,,10,,,,,,,,,,,,,,,1,2,2,9,9,9,,9,9,2,,2,,2,,2,,2,,2,,5,,,,,,2,,,,,,,3,2,,2,8,,,,,,1,4,,2,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,5,,,,15,,,,1,,,,99,1,,,,2,2,2,2,,,,,,1,1,3,,,,,,,,1,2,7,8,,7,5,6,7,8,9,10,16,17,20,21,23,24,,,,,,5,6,7,8,10,16,17,20,21,23,24,,,,,,,2,,,,,1,2,,,,3,2,2,4,,1,1,,4,1,,,,1,2,,,,,,,,,,,2,,,,,,,,1,3,4,6,4,4,4,1,30,2,,,,,8,,,8,,,8,,,1,,,8,,,6,7,7,7,7,7,7,2,2,2,2,2,,14,16,1,2,,,2,1,2,1,1,,,2,2,1,,1,1,1,1,2,1,2,2,2,1,2,2,3,2,1,Sucre,78,",33448039965043",",514600142888652",2
15767,1,15,1,1,,,,,,,,,,,,,2,,1,,4,2,99,2,5,,,,,,1,,2,9,1,3,4,,,1,2,99,3,2,,,,2,,,,,,,,,,,1,3,,99,1,2,3,4,5,6,7,,1,3,30,4,1,,1,50,50,1,3,1,2,4,8,9,10,,,,,5,,,,,,7,8,9,14,15,20,21,22,,,,,,,,,,,,,,,,,,12,13,20,21,22,,,,,,,,,,,,,,,,,,,,1,2,4,8,9,10,,,,4,5,9,12,,,,,,,,,,,,2,2,2,2,2,9,,9,9,2,,2,,2,,2,,2,,2,,4,,,,,,2,,,,,,,1,2,,1,1,,,,,,2,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,1,3,,,,,,,,1,4,,,,7,8,9,14,15,20,21,22,,,,,,,,,,,12,13,20,21,22,,,,,,,,,,,,,2,,,,,8,,,,,4,2,2,4,,1,2,,,,,,,,2,,,,,,,,,,,2,,,,,,,,1,4,4,3,6,4,3,2,,2,,,,,1,,,1,,,5,,,1,,,9,,,1,1,1,1,1,1,6,1,2,1,2,2,,8,11,2,,,,2,2,2,1,1,,,6,7,1,,1,1,1,1,1,1,1,2,2,2,1,1,6,2,1,Sucre,78,",33448039965043",",514600142888652",5
15768,1,49,1,1,,,,,,,,,,,,,1,99,1,,5,2,800,9,,,,,,,1,,5,2500,1,2,3,,,1,2,115,3,1,,30,500,3,,,,,,,,,,,1,,6,99,1,,,,,,,,1,2,50,3,1,,2,,,,,,,,,,,,,,,11,,,,,,7,11,12,13,14,15,,,,,,,,,,,,,,,,,,,,11,12,13,14,15,,,,,,,,,,,,,,,,,,,,1,2,5,9,11,,,,,1,4,5,12,,,,,,periodicos de bolivi,,,espn,google,,2,2,2,2,2,4,,1,9,2,,2,,2,,2,,2,,1,2,1,7,4,,,catastro,2,,,,,,,2,2,,2,7,,,,,directo,1,2,,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,1,,,,,,,,,1,3,7,,,7,11,12,13,14,15,,,,,,,,,,,,,11,12,13,14,15,,,,,,,,,,,,,2,,,,,8,,,,,2,1,2,3,,2,2,,,,,,,,2,,,,,,,,,,,2,,,,,,,,2,,5,6,2,3,6,1,120,2,,,,,5,,,5,,,5,,,5,,,5,,,5,7,5,7,7,7,6,1,1,2,1,2,,25,32,2,,,,2,1,7,2,1,,,3,7,1,,2,1,1,1,2,1,1,2,1,2,2,2,4,2,1,Sucre,78,",33448039965043",",514600142888652",3
15769,1,23,1,1,,,,,,,,,,,,,2,,1,,6,2,99,7,3,,,,,,1,,1,9,1,2,,,,1,2,99,3,1,,10,99,2,,,,,,,,,,,1,6,,1000,1,2,3,6,,,,,1,1,50,3,1,,1,20,55,1,1,1,8,9,11,,,,,,,1,,,,,,7,12,13,18,19,20,21,22,,,,,,,,,,,,,,,,,,12,13,18,19,20,21,22,,,,,,,,,,,,,,,,,,1,8,9,11,,,,,,1,11,,,,,,,,,,,,,,2,2,2,2,2,1,,2,2,2,,2,,2,,2,,2,,1,2,5,,,,,,2,,,,,,,2,2,,1,6,,,,,,1,1,,2,2,1,,,,,1,1,,,,7,,,,1,,,,2,,,,1000,3,,,,1,1,1,,,,5,,,,15,,,mascotas,1,,,,99,1,,,,2,2,2,2,,,,,,1,1,3,,,,,,,,1,2,3,4,,7,12,13,18,19,20,21,22,,,,,,,,,,,12,13,18,19,20,21,22,,,,,,,,,,,2,,,,,8,,,,,3,2,2,4,,2,1,,6,2,,,,1,2,,,,,,,,,,,2,,,,,,,,1,3,4,4,4,4,3,1,6,2,,,,,1,,,1,,,9,,,1,,,1,6,,6,6,6,6,6,6,6,1,1,2,2,2,,6,13,2,,,,2,1,6,1,1,,,6,3,1,,1,1,1,1,2,2,1,2,1,4,2,2,4,2,1,Sucre,78,",33448039965043",",514600142888652",3
15770,1,20,1,1,,,,,,,,,,,,,2,,1,,1,2,99,9,,,,,,,1,,2,450,2,4,,,,2,2,,,2,,,,3,,,,,,,,,,,1,6,,700,1,6,7,,,,,,1,2,20,3,1,,1,150,60,1,2,1,2,7,10,,,,,,,11,,,,,,7,12,13,20,21,22,23,,,,,,,,,,,,,,,,,,,12,13,20,21,22,23,,,,,,,,,,,,,,,,,,,1,4,10,,,,,,,1,9,,,,,,,,,,,,,,2,2,2,2,2,1,,4,9,2,,2,,2,,2,,2,,2,,1,4,,,,,2,,,,,,,1,2,,2,6,,,,,,1,4,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,1,3,,,,,,,,12,,,,,7,12,13,20,21,22,23,,,,,,,,,,,,12,13,20,21,22,23,,,,,,,,,,,,2,,,,,8,,,,,2,2,2,4,,2,2,,,,,,,,2,,,,,,,,,,,2,,,,,,,,1,1,2,1,6,3,6,1,2,2,,,,,1,,,1,,,1,,,1,,,1,,,1,1,1,1,1,1,1,2,2,2,2,2,,15,19,1,2,,,1,2,3,1,1,,,6,1,1,,1,1,1,1,2,2,1,2,2,1,2,2,2,2,1,Sucre,78,",33448039965043",",514600142888652",2
15771,1,62,1,1,,,,,,,,,,,,,1,33,1,,3,1,99,3,4,,,,,,1,,1,3000,2,,,,,1,2,180,4,1,,5,600,1,160,5,4,1,2,,,,,,1,,2,800,1,2,3,4,6,7,,,1,2,100,4,1,,1,100,60,1,3,1,6,,,,,,,,,11,,,,,,7,12,13,20,21,22,,,,,,,,,,,,,,,,,,,,12,13,21,22,,,,,,,,,,,,,,,,,,,,,1,2,6,,,,,,,1,5,9,,,,,,,99,,,GOOGLE,,,2,2,2,2,2,9,,9,9,2,,2,,2,,2,,2,,2,,5,,,,,99,2,,,,,,,3,2,,2,8,,,,,,1,1,,1,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,2,,9,6,6,6,6,1,4,2,,,,,1,2,9,1,2,9,1,9,9,1,1,9,1,9,9,1,1,1,1,1,1,1,2,1,9,9,2,,55,55,1,3,,,2,1,7,2,1,,,8,7,5,,1,1,1,1,1,1,1,2,1,4,2,2,4,2,1,Sucre,78,",33448039965043",",514600142888652",4
15772,1,33,1,1,,,,,,,,,,,,,2,,1,,2,1,99,7,5,,,,,,1,,2,2300,1,,,,,2,1,950,1,1,,5,99,3,,,,,,,,,,,1,6,6,730,1,6,,,,,,,1,2,40,3,1,,1,40,60,1,3,1,10,,,,,,,,,11,,,,,,7,7,8,12,13,20,21,22,,,,,,,,,,,,,,,,,,7,8,12,13,20,21,22,,,,,,,,,,,,,,,,,,7,10,,,,,,,,1,4,8,9,,,,,,,,,,,,1,2,2,1,2,1,,2,9,2,,2,,2,,2,,2,,1,2,2,1,,,,SALUD SACAR FICHAS,2,,,,,,,1,2,,2,1,,,,,,1,5,,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,,,5,,,,15,,,,1,,,,99,1,,,,2,2,2,1,1,3,,,,1,1,3,,,,,,,,1,4,,,,7,7,8,12,13,12,20,21,22,,,,,,,,,,7,8,12,13,21,22,23,,,,,,,,,,,2,,,,,1,2,,,,2,2,2,2,,2,2,,,,,,,,2,,,,,,,,,,,2,,,,,,,,2,,3,3,4,4,6,1,90,2,,,,,1,9,9,1,9,9,9,1,1,9,1,9,9,9,1,1,1,1,1,1,1,2,1,1,1,1,2,,16,17,1,1,3,1,1,1,7,1,1,,,9,3,1,,1,1,1,1,1,1,2,1,1,3,2,2,3,2,1,Sucre,78,",33448039965043",",514600142888652",3
15773,1,30,1,1,,,,,,,,,,,,,1,37,1,,2,1,99,9,,,,,,,1,,3,1800,1,4,,,,1,2,99,4,1,,2,1000,3,,,,,,,,,,,1,8,,1000,1,2,6,,,,,,1,1,60,1,1,,1,50,55,1,4,1,,,,,,,,,,11,,,,,,7,14,15,18,19,21,22,,,,,,,,,,,,,,,,,,,14,15,18,19,21,22,,,,,,,,,,,,,,,,,,,1,,,,,,,,,9,,,,,,,,,99,99,99,99,99,99,2,2,2,2,2,2,,3,1,2,,2,,2,,2,,2,,2,,4,5,,,,99,2,,,,,,,3,2,,2,2,6,,,,,2,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,1,,,,,,,,,1,,,,,7,14,15,18,19,20,21,22,,,,,,,,,,,14,15,18,19,21,22,,,,,,,,,,,,2,,,,,8,,,,,4,2,2,3,,2,2,,,,,,,,2,,,,,,,,,,,2,,,,,,,,2,,3,6,6,4,6,2,,2,,,,,1,2,9,1,2,1,1,9,9,9,1,1,9,9,9,1,2,2,1,1,1,2,1,2,1,2,2,,20,26,2,,,,2,2,4,2,1,,,7,3,1,,2,1,1,1,2,2,1,1,2,1,2,2,5,2,1,Sucre,78,",33448039965043",",514600142888652",2
15774,1,47,1,1,,,,,,,,,,,,,2,,1,,4,1,99,2,1,,,,,,1,,1,2000,1,3,4,,,2,2,,,1,,3,400,2,,,,,,,,,,,1,,1,800,1,3,6,7,,,,,1,1,70,4,1,,1,100,55,1,5,1,9,10,,,,,,,,11,,,,,,6,13,14,15,20,21,22,,,,,,,,,,,,,,,,,,,10,11,12,19,20,21,22,,,,,,,,,,,,,,,,,,1,9,10,,,,,,,1,4,9,,,,,,,99,99,99,GOOGLE,99,99,2,2,2,2,2,2,,2,2,2,,1,1,2,,2,,2,,1,2,2,1,,,,TRAMITE DE CATASTRO,2,,,,,,,3,2,,1,5,,,,,,1,2,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,2,,6,3,6,4,6,1,360,2,,,,,1,2,9,1,2,9,9,9,2,1,9,2,1,2,9,1,6,6,2,2,1,6,1,1,1,2,2,,29,33,1,2,,,2,2,4,2,1,,,2,4,1,,3,1,1,1,2,1,1,2,2,2,2,2,6,2,1,Sucre,78,",33448039965043",",514600142888652",3
15775,1,51,1,2,,,,,,,,,,,,,2,,2,,,,,6,1,,,,,,1,,5,2500,1,3,4,,,2,1,99,4,1,,10,300,3,,,,,,,,,,,1,,1,150,1,6,,,,,,,1,2,100,3,1,,1,80,50,1,5,1,10,,,,,,,,,1,5,,,,,5,9,10,11,12,15,16,17,21,22,,,,,,,,,,,,,,,,15,16,17,18,21,22,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,4,,,,,,,,CORREO DEL SUR,99,99,GOOGLE,FACEBOOK,99,1,1,2,2,2,2,,2,3,2,,1,2,1,2,2,,2,,2,,1,6,,,,99,2,,,,,,,3,1,3,1,5,,,,,,1,2,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,1,3,,,,,,,,1,,,,,6,9,10,11,12,15,16,17,21,22,,,,,,,,,13,14,15,16,17,18,22,23,,,,,,,,,,2,,,,,1,2,,,,3,2,2,3,,2,2,,,,,,,,2,,,,,,,,,,,2,,,,,,,,2,,3,3,6,4,6,1,20,2,,,,,1,9,1,2,9,1,9,2,1,1,9,2,9,9,9,4,7,4,4,4,4,6,2,2,2,2,2,,40,48,2,,,,2,2,3,4,1,,,1,3,1,,2,1,1,1,2,1,1,2,1,1,2,2,2,2,1,Sucre,78,",33448039965043",",514600142888652",2
15776,1,18,1,1,,,,,,,,,,,,,2,,1,,1,3,2450,9,,,,,,,1,1,2,2000,1,2,,,,1,1,99,4,2,,,,2,,,,,,,,,,,1,,1,1400,1,2,3,4,6,,,,2,2,20,5,1,,1,100,50,1,4,1,2,7,10,,,,,,,3,,,,,,7,7,8,9,10,11,12,13,14,15,16,17,18,19,20,,,,,,,,,,,7,8,9,10,11,12,13,14,15,16,17,18,19,20,,,,,,,,,,,1,2,10,,,,,,,1,7,,,,,,,,ENTEL BO,99,99,MP3,TUBE MAT,99,2,2,2,2,2,3,,4,4,2,,2,,2,,2,,2,,1,1,2,7,1,4,,RAMITES BANCARIOS,1,JUBLA.ME,4,,,,,2,2,,2,4,,,,,,2,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,1,4,4,4,4,5,4,1,99,2,,,,,1,2,9,1,2,9,1,2,1,2,1,2,9,9,9,1,1,1,1,4,6,6,1,1,1,1,1,2,8,11,1,1,,,1,1,3,1,1,,,6,7,1,,7,1,1,1,1,1,1,2,1,4,2,2,4,2,1,Sucre,78,",33448039965043",",514600142888652",5
15777,1,28,1,1,,,,,,,,,,,,,1,50,1,2,16,2,99,7,1,2,,,,,1,3,16,4000,4,,,,,1,2,99,4,1,,,99,1,290,4,4,2,10,11,,,,,1,11,,4000,1,2,6,7,,,,,2,2,200,5,1,,1,100,55,1,4,2,4,9,10,11,,,,,,8,,,,,,7,1,2,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,1,2,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,2,4,9,,,,,,,2,3,5,,,,,,,GOOGLE,99,99,GNULA.NU,99,99,2,2,2,2,2,4,,1,1,2,,2,,2,,2,,2,,1,1,7,1,,,,PAGO DE SEGURO BASICO,2,,,,,,,3,2,,2,2,4,6,,,,1,2,,1,2,1,,,,,2,4,,,,6,,,,5,,,,4,,,,99,2,,,,1,1,1,2,,,5,,,,1,2,,,1,,,,500,4,,,,2,2,2,2,,,,,,1,1,3,6,7,8,,,,,1,4,5,7,,7,1,2,6,7,8,10,11,12,13,14,15,16,17,18,19,21,,1,2,6,7,8,9,10,11,12,13,14,15,16,17,18,19,,2,,,,,1,2,,,,3,2,2,4,,1,1,,6,1,,,,2,2,,,,,,,,,,,2,,,,,,,,2,,4,3,3,4,3,1,1,2,,,,,1,9,9,2,2,3,1,9,9,9,1,2,9,9,9,4,7,7,4,7,7,6,1,1,1,1,1,1,7,13,1,1,,,2,1,6,1,1,,,2,7,1,,3,1,1,1,1,1,1,2,2,1,2,2,2,2,1,Sucre,78,",33448039965043",",514600142888652",4
15778,1,46,1,1,,,,,,,,,,,,,1,50,1,7,15,2,99,3,1,4,,,,,1,,,9,1,2,,,,1,2,99,4,2,,,,2,,,,,,,,,,,1,99,,99,1,4,6,7,,,,,1,1,140,4,1,,1,100,55,1,4,1,5,9,10,11,,,,,,1,,,,,,5,9,10,11,12,13,14,15,16,17,18,19,20,21,22,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,1,10,11,,,,,,,1,2,7,8,,,,,,99,99,99,99,99,99,1,1,2,2,2,4,,4,4,2,,2,,2,,1,2,1,2,2,,1,4,6,3,,99,2,,,,,,,2,2,,2,1,,,,,,1,2,,2,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,2,,2,2,6,4,4,1,2,1,4,,,,9,2,1,3,1,1,2,1,3,9,9,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,18,30,1,4,,,1,1,7,2,1,,,1,7,1,,4,1,1,1,1,1,2,2,2,2,2,2,6,2,1,Sucre,78,",33448039965043",",514600142888652",4
15779,1,59,1,1,,,,,,,,,,,,,1,18,1,1,17,2,600,1,1,,,,,,1,1,16,1200,1,,,,,1,2,190,5,1,,,99,1,298,5,5,2,5,,,,,,1,4,,200,1,6,,,,,,,2,2,60,5,1,,1,150,500,3,5,1,2,5,,,,,,,,3,,,,,,7,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,,7,8,9,16,17,18,19,20,21,22,23,24,,,,,,,,,,,,,1,2,,,,,,,,10,,,,,,,,,GOOGLE,99,99,99,99,99,1,1,1,1,2,4,,1,1,1,2,1,2,2,,2,,1,2,1,2,2,5,7,4,,PAGO DE IMPUESTOS,1,RENTA,3,,,,,3,2,,1,3,,,,,,1,1,,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,2,,4,3,6,6,6,1,7,2,,,,,1,9,9,1,9,9,9,9,1,9,9,9,9,9,9,6,7,7,7,7,7,6,1,1,2,2,1,2,25,45,2,,,,2,1,6,2,1,,,3,6,2,,4,1,1,1,2,2,2,2,2,2,2,2,5,2,1,Sucre,78,",33448039965043",",514600142888652",3
15780,1,32,1,2,,,,,,,,,,,,,1,99,1,,,1,99,2,1,,,,,,1,,,400,1,,,,,1,2,400,3,1,,,99,3,,,,,,,,,,,1,1,,99,1,2,3,4,6,7,,,1,3,60,3,1,,1,60,60,1,3,3,5,10,11,,,,,,,7,8,,,,,7,7,8,12,13,20,21,22,,,,,,,,,,,,,,,,,,7,8,9,10,11,12,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,1,3,,,,,,,,FACEBOOK,YOU TUBE,,GOOGLE,,,2,2,2,2,2,2,,2,2,2,,2,,2,,2,,1,2,1,2,3,4,5,6,,PAGO SERVICIOS BASICOS,1,SICOES,3,,,,,3,2,,1,3,,,,,,1,1,,1,1,1,,,,,1,1,2,,,7,,,,6,7,,,1,,,,1000,1,,,,1,1,1,2,,,5,,,,1,2,6,,2,,,,3500,1,,,,1,2,2,2,,,,,,1,1,,,,,,,,,1,5,,,,1,19,20,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,2,,,,,8,,,,,4,2,2,4,,2,2,,,,,,,,2,,,,,,,,,,,2,,,,,,,,2,,4,2,3,3,1,1,2,1,4,,,,1,9,2,1,9,2,1,9,2,1,9,9,9,9,9,6,1,1,2,3,1,1,1,1,1,1,2,,10,25,1,1,,,1,1,8,2,1,,,3,8,3,,3,1,1,1,1,1,2,2,2,1,2,2,5,2,1,Sucre,78,",33448039965043",",514600142888652",4
15784,1,50,1,2,,,,,,,,,,,,,2,,2,,,,,9,,,,,,,1,99,,9,1,2,,,,2,2,,,1,,,99,3,,,,,,,,,,,1,8,2,1000,1,2,6,,,,,,1,2,20,5,1,,1,120,1000,3,5,10,,,,,,,,,,5,,,,,,3,14,15,16,17,18,19,20,21,22,23,24,,,,,,,,,,,,,,14,15,16,17,18,19,20,21,22,23,24,,,,,,,,,,,,,,1,2,6,,,,,,,7,8,,,,,,,,GOOGLE,,,GOOGLE,,,2,2,2,2,2,9,,3,3,2,,2,,2,,2,,2,,2,,4,5,7,,,REALIZACION DE TRAMITES,2,,,,,,,3,2,,1,1,,,,,,1,2,,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,1,3,,,,,,,,1,2,4,,,7,14,15,18,19,22,23,,,,,,,,,,,,14,15,18,19,22,23,,,,,,,,,,,,2,,,,,8,,,,,3,2,2,4,,2,2,,,,,,,,2,,,,,,,,,,,2,,,,,,,,2,,6,6,6,6,6,1,15,2,,,,,3,1,2,3,1,2,4,3,,1,5,6,4,3,,3,3,3,3,3,9,6,2,1,2,2,2,,30,35,2,,,,2,1,4,2,1,,,2,4,2,,3,1,1,1,2,2,2,2,1,1,2,2,1,2,1,Sucre,78,",33448039965043",",514600142888652",2
15785,1,19,1,1,,,,,,,,,,,,,2,,1,2,3,2,99,5,5,,,,,,1,9,1,9,1,4,,,,1,2,99,4,1,,2,99,2,,,,,,,,,,,1,1,1,1200,1,2,3,4,6,7,,,1,2,20,3,1,,1,80,55,1,2,4,7,9,10,11,,,,,,5,,,,,,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,23,22,24,,,,,,,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,23,22,24,,,,,,,4,7,,,,,,,,5,7,9,,,,,,,CORREO DEL SUR,,,GOOGLE,,,1,9,2,1,2,1,,9,9,2,,2,,2,,2,,2,,1,1,1,4,7,11,,99,1,UPSA,4,,,,,2,2,,1,3,,,,,,1,2,,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,1,1,3,6,,,,,,,7,1,11,,,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,,2,,,,,8,,,,,3,1,1,1,,1,2,,,,,,,,1,2,7,,,,,,,,2,1,1,,,,,,,1,3,3,2,4,5,6,1,30,2,,,,,1,2,,6,,,1,2,,6,7,,9,,,1,1,1,1,1,1,6,1,1,1,1,2,,10,13,1,3,,,1,2,6,1,1,,,6,2,1,,2,1,1,1,2,2,2,2,1,1,2,2,5,2,1,Sucre,78,",33448039965043",",514600142888652",2
